,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
5164,51-60,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Very concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5165,41-50,Female,Bachelor's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,4.0
5166,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Very concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5167,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,2.0
5168,26-30,Male,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Somewhat concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,2.0
5169,26-30,Female,Master's degree,Self-employed,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5170,51-60,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5171,18-25,Female,Bachelor's degree,Employee,Strongly agree,Agree,Disagree,Disagree,Agree,Very concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,4.0
5172,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,1.0
5173,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5174,41-50,Male,Bachelor's degree,Self-employed,Agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,3.0
5175,18-25,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,All this information is useful and will help support the growth of MOVR Why not load up on some MOVR .,5.0
5176,31-40,Female,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Somewhat concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,2.0
5177,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,A little concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5178,18-25,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,1.0
5179,51-60,Male,Bachelor's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,2.0
5180,26-30,Male,"8th Up to 12th grade, no diploma",Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,2.0
5181,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,A little concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5182,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,4.0
5183,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5184,41-50,Male,Master's degree,Employee,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5185,31-40,Female,High school graduate with diploma,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,4.0
5186,26-30,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5187,31-40,Male,Master's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,2.0
5188,41-50,Male,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,4.0
5189,18-25,Female,Bachelor's degree,Out of work but not currently looking for work,Agree,Disagree,Agree,Agree,Agree,Somewhat concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,1.0
5190,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,2.0
5191,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,3.0
5192,51-60,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Very concerned,Enjoying Paradise 3  Call Of Duty Vanguard and Cold War Montage NorCalWRC via.,4.0
5193,18-25,Female,Bachelor's degree,Employee,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,5.0
5194,18-25,Male,Associate degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Very concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,3.0
5195,41-50,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,A little concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,3.0
5196,18-25,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,2.0
5197,18-25,Female,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,4.0
5198,18-25,Female,Bachelor's degree,Employee,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Not at all concerned, Yeah man look at how it controls how the menus look how you buy  change out weapon I mean ghostbusing parts. They recycled the engine from whatever war shooter they were pushing back then  so you have these long ass missions that don't go nowhere don't mean anything.,2.0
